gestion_id,folio,cliente_id,ejecutivo,fecha,tipo,resultado,observacion
1,10001,C011,Carlos Rojas,2024-04-29,Llamada,Contactado,
2,10001,C011,Carlos Rojas,2023-07-16,Email,Sin respuesta,Promete pago al 15 del mes
3,10002,C003,Valentina Soto,2025-02-27,Llamada,Acuerdo firmado,Promete pago al 15 del mes
4,10002,C003,Valentina Soto,2025-02-25,Carta,No contesta,Solicita plazo adicional de 30 días
5,10002,C003,Valentina Soto,2025-02-26,Carta,Acuerdo firmado,Solicita plazo adicional de 30 días
6,10002,C003,Valentina Soto,2025-02-24,WhatsApp,Sin respuesta,"Disputa factura, enviada a revisión"
7,10002,C003,Valentina Soto,2025-03-01,Carta,Acuerdo firmado,Promete pago al 15 del mes
8,10002,C003,Valentina Soto,2025-02-28,Visita,Contactado,No se pudo contactar
9,10002,C003,Valentina Soto,2025-02-26,Visita,No contesta,Promete pago al 15 del mes
10,10003,C010,Carlos Rojas,2025-01-02,Email,Número equivocado,Cliente indica que pagará fin de mes
11,10003,C010,Carlos Rojas,2024-10-20,Carta,Acuerdo firmado,
12,10003,C010,Carlos Rojas,2024-10-01,WhatsApp,Sin respuesta,Cliente informó quiebra inminente
13,10003,C010,Carlos Rojas,2024-10-23,Carta,No contesta,Cliente indica que pagará fin de mes
14,10004,C009,Valentina Soto,2024-12-04,Llamada,Promesa de pago,Cliente indica que pagará fin de mes
15,10004,C009,Valentina Soto,2025-02-06,WhatsApp,Promesa de pago,"Disputa factura, enviada a revisión"
16,10004,C009,Valentina Soto,2024-11-18,Llamada,No contesta,"Disputa factura, enviada a revisión"
17,10004,C009,Valentina Soto,2024-12-16,WhatsApp,Número equivocado,Cliente indica que pagará fin de mes
18,10004,C009,Valentina Soto,2024-12-04,WhatsApp,Acuerdo firmado,Cliente informó quiebra inminente
19,10004,C009,Valentina Soto,2024-11-22,Email,No contesta,Cliente informó quiebra inminente
20,10005,C004,María González,2024-06-18,Carta,Sin respuesta,Solicita plazo adicional de 30 días
21,10005,C004,María González,2024-09-08,Visita,Sin respuesta,Acuerdo de cuotas establecido
22,10005,C004,María González,2024-09-01,Visita,Contactado,No se pudo contactar
23,10005,C004,María González,2024-07-02,Email,Sin respuesta,"Disputa factura, enviada a revisión"
24,10005,C004,María González,2024-06-14,WhatsApp,Acuerdo firmado,Cliente indica que pagará fin de mes
25,10005,C004,María González,2024-11-20,WhatsApp,No contesta,Solicita plazo adicional de 30 días
26,10006,C012,Carlos Rojas,2024-08-06,Carta,Contactado,Cliente indica que pagará fin de mes
27,10006,C012,Carlos Rojas,2024-07-22,WhatsApp,Número equivocado,Solicita plazo adicional de 30 días
28,10006,C012,Carlos Rojas,2024-07-03,WhatsApp,Promesa de pago,No se pudo contactar
29,10006,C012,Carlos Rojas,2024-11-15,Visita,Sin respuesta,No se pudo contactar
30,10006,C012,Carlos Rojas,2024-10-27,Carta,Promesa de pago,Solicita plazo adicional de 30 días
31,10006,C012,Carlos Rojas,2024-07-27,Visita,Número equivocado,
32,10007,C002,Paola Muñoz,2023-12-30,WhatsApp,Número equivocado,Cliente informó quiebra inminente
33,10007,C002,Paola Muñoz,2024-02-18,WhatsApp,No contesta,Promete pago al 15 del mes
34,10007,C002,Paola Muñoz,2024-05-14,Carta,No contesta,Solicita plazo adicional de 30 días
35,10007,C002,Paola Muñoz,2023-07-06,WhatsApp,Acuerdo firmado,Cliente indica que pagará fin de mes
36,10007,C002,Paola Muñoz,2024-01-07,WhatsApp,Promesa de pago,"Disputa factura, enviada a revisión"
37,10007,C002,Paola Muñoz,2025-02-03,Llamada,Acuerdo firmado,Solicita plazo adicional de 30 días
38,10008,C005,Andrés Torres,2023-08-03,Email,Promesa de pago,Cliente informó quiebra inminente
39,10008,C005,Andrés Torres,2023-11-03,Llamada,Número equivocado,Cliente informó quiebra inminente
40,10008,C005,Andrés Torres,2024-08-15,Llamada,Promesa de pago,"Disputa factura, enviada a revisión"
41,10008,C005,Andrés Torres,2024-01-26,Llamada,Promesa de pago,Acuerdo de cuotas establecido
42,10008,C005,Andrés Torres,2023-09-03,Llamada,Contactado,Promete pago al 15 del mes
43,10008,C005,Andrés Torres,2024-08-06,Visita,No contesta,Promete pago al 15 del mes
44,10009,C009,María González,2024-07-08,Carta,Sin respuesta,Promete pago al 15 del mes
45,10009,C009,María González,2024-02-17,Visita,Sin respuesta,"Disputa factura, enviada a revisión"
46,10009,C009,María González,2024-03-20,Visita,Contactado,Cliente indica que pagará fin de mes
47,10009,C009,María González,2024-05-26,Llamada,Promesa de pago,Acuerdo de cuotas establecido
48,10009,C009,María González,2024-02-19,Llamada,Promesa de pago,Solicita plazo adicional de 30 días
49,10009,C009,María González,2024-07-07,Email,Número equivocado,No se pudo contactar
50,10009,C009,María González,2024-10-03,Llamada,Promesa de pago,
51,10009,C009,María González,2024-12-22,Llamada,Acuerdo firmado,Solicita plazo adicional de 30 días
52,10010,C011,Carlos Rojas,2024-01-10,Llamada,Contactado,Cliente informó quiebra inminente
53,10010,C011,Carlos Rojas,2024-02-04,Email,Acuerdo firmado,Acuerdo de cuotas establecido
54,10010,C011,Carlos Rojas,2024-09-24,Carta,Promesa de pago,"Disputa factura, enviada a revisión"
55,10010,C011,Carlos Rojas,2023-12-10,Llamada,Acuerdo firmado,
56,10010,C011,Carlos Rojas,2024-01-08,Llamada,Promesa de pago,Cliente indica que pagará fin de mes
57,10010,C011,Carlos Rojas,2024-05-27,Llamada,Promesa de pago,
58,10010,C011,Carlos Rojas,2024-02-01,Llamada,Contactado,"Disputa factura, enviada a revisión"
59,10011,C007,Paola Muñoz,2024-12-02,Carta,Contactado,
60,10011,C007,Paola Muñoz,2024-03-10,Carta,Acuerdo firmado,
61,10011,C007,Paola Muñoz,2024-09-17,Carta,Contactado,Promete pago al 15 del mes
62,10012,C006,María González,2024-08-21,Visita,Promesa de pago,Solicita plazo adicional de 30 días
63,10012,C006,María González,2024-09-29,Llamada,Promesa de pago,
64,10012,C006,María González,2024-10-09,Carta,No contesta,Acuerdo de cuotas establecido
65,10013,C011,Andrés Torres,2024-01-11,Llamada,Contactado,Cliente informó quiebra inminente
66,10014,C015,María González,2025-02-15,Email,Sin respuesta,Cliente indica que pagará fin de mes
67,10014,C015,María González,2025-01-20,WhatsApp,Acuerdo firmado,
68,10014,C015,María González,2025-02-13,Email,Acuerdo firmado,Acuerdo de cuotas establecido
69,10014,C015,María González,2024-12-12,Visita,Número equivocado,Cliente indica que pagará fin de mes
70,10014,C015,María González,2025-02-04,WhatsApp,Sin respuesta,Solicita plazo adicional de 30 días
71,10014,C015,María González,2024-12-17,Visita,No contesta,Solicita plazo adicional de 30 días
72,10014,C015,María González,2024-12-29,Email,No contesta,Cliente indica que pagará fin de mes
73,10015,C014,María González,2023-06-23,Visita,No contesta,Solicita plazo adicional de 30 días
74,10015,C014,María González,2024-12-03,Carta,Promesa de pago,No se pudo contactar
75,10015,C014,María González,2023-07-02,Visita,Sin respuesta,Promete pago al 15 del mes
