folio,cliente_id,cliente_nombre,industria,segmento,ejecutivo,fecha_emision,fecha_vencimiento,dias_mora,tramo_mora,monto_original,monto_pagado,saldo_deudor,estado,region
10001,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Carlos Rojas,2023-04-25,2023-05-25,646,>180 días,14310000.0,4858000.0,9452000.0,Acuerdo de Pago,Valparaíso
10002,C003,Clínica Santa María SpA,Salud,Mediana,Valentina Soto,2025-01-24,2025-02-23,6,0-30 días,3184000.0,0.0,3184000.0,En Gestión,Metropolitana
10003,C010,Tecnologías del Pacífico Ltda.,TI,Pequeña,Carlos Rojas,2024-03-08,2024-04-07,328,>180 días,2153000.0,4000.0,2149000.0,Castigada,Valparaíso
10004,C009,Minera Altiplano S.A.,Minería,Grande,Valentina Soto,2024-09-08,2024-10-08,144,91-180 días,77743000.0,1414000.0,76329000.0,Castigada,Antofagasta
10005,C004,Transportes Rápido Ltda.,Logística,Pequeña,María González,2024-04-04,2024-06-03,271,>180 días,1622000.0,442000.0,1180000.0,Acuerdo de Pago,Valparaíso
10006,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Carlos Rojas,2024-03-08,2024-05-07,298,>180 días,505000.0,15000.0,490000.0,Castigada,Biobío
10007,C002,Supermercados Del Sur S.A.,Retail,Grande,Paola Muñoz,2023-04-05,2023-07-04,606,>180 días,32477000.0,648000.0,31829000.0,Castigada,Araucanía
10008,C005,Inmobiliaria Horizonte S.A.,Inmobiliaria,Mediana,Andrés Torres,2023-02-14,2023-05-15,656,>180 días,9294000.0,565000.0,8729000.0,Castigada,Metropolitana
10009,C009,Minera Altiplano S.A.,Minería,Grande,María González,2023-10-28,2023-12-27,430,>180 días,17789000.0,1718000.0,16071000.0,Castigada,Metropolitana
10010,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Carlos Rojas,2023-08-22,2023-10-21,497,>180 días,5265000.0,1967000.0,3298000.0,Acuerdo de Pago,Metropolitana
10011,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Paola Muñoz,2023-10-12,2024-01-10,416,>180 días,1536000.0,5000.0,1531000.0,Castigada,Valparaíso
10012,C006,Farmacia Cruz Verde S.A.,Retail,Grande,María González,2023-12-30,2024-02-13,382,>180 días,73199000.0,16447000.0,56752000.0,Acuerdo de Pago,Araucanía
10013,C011,Agrícola Valle Verde SpA,Agricultura,Mediana,Andrés Torres,2023-06-25,2023-08-09,570,>180 días,8654000.0,839000.0,7815000.0,Castigada,Biobío
10014,C015,Servicios Generales del Sur,Servicios,Pequeña,María González,2024-10-17,2024-12-01,90,61-90 días,2695000.0,914000.0,1781000.0,Acuerdo de Pago,Valparaíso
10015,C014,Hotel Costanera SpA,Turismo,Mediana,María González,2023-02-02,2023-04-03,698,>180 días,2239000.0,10000.0,2229000.0,Castigada,Valparaíso
10016,C015,Servicios Generales del Sur,Servicios,Pequeña,Andrés Torres,2024-08-03,2024-10-02,150,91-180 días,887000.0,383000.0,504000.0,Acuerdo de Pago,Antofagasta
10017,C015,Servicios Generales del Sur,Servicios,Pequeña,Carlos Rojas,2024-10-20,2025-01-18,42,31-60 días,1674000.0,0.0,1674000.0,En Gestión,Valparaíso
10018,C012,Ferretería Industrial Ltda.,Comercio,Pequeña,Andrés Torres,2024-07-28,2024-09-26,156,91-180 días,316000.0,0.0,316000.0,En Gestión,Araucanía
10019,C007,Restaurante El Huerto SpA,Gastronomía,Pequeña,Carlos Rojas,2024-01-06,2024-02-20,375,>180 días,676000.0,69000.0,607000.0,Acuerdo de Pago,Araucanía
10020,C008,Corporación Educacional Norte,Educación,Mediana,Carlos Rojas,2023-04-04,2023-05-04,667,>180 días,10896000.0,4451000.0,6445000.0,Acuerdo de Pago,Valparaíso
